weight logl sigma l k
0.000000000000000000e+00 -1.186811288290569109e+03 1.159024606810087343e-01 5.819388059446675143e-01 3.812577235400453901e-01
0.000000000000000000e+00 -1.186266643945924670e+03 9.292712044633044677e-02 2.748495917498818830e-01 4.837113180149081870e-01
0.000000000000000000e+00 -1.162650257859090061e+03 1.057350786469389847e-01 7.924854712032265436e-01 6.706471993098008788e-01
0.000000000000000000e+00 -1.150790221538381047e+03 1.247545708745927406e-01 1.854167929510158741e-01 3.581427326197970107e-01
0.000000000000000000e+00 -1.116172435630281143e+03 3.133106036403343619e-02 6.669395342275730165e-03 5.344680651747166777e-01
0.000000000000000000e+00 -1.111074031001081494e+03 9.017416569286906824e-02 7.484046191003459469e-01 5.641549193294769227e-01
0.000000000000000000e+00 -1.105283173446299088e+03 2.200942824914903229e-01 7.092368179791687099e-01 1.391777235120760237e-01
0.000000000000000000e+00 -1.091474979717798760e+03 2.777990521666970913e-01 5.940860959343410297e-01 9.946145992467199104e-01
0.000000000000000000e+00 -1.083612178868318097e+03 1.647534810236165326e-01 6.994908000829725969e-01 2.623799992323102570e-01
0.000000000000000000e+00 -1.058628920684325976e+03 1.509043081029201039e-01 2.597340747005297823e-01 7.589591242569803109e-01
0.000000000000000000e+00 -1.057486634022224962e+03 1.063012321341355593e-01 1.429322514352888707e-01 6.507805701757645167e-01
0.000000000000000000e+00 -1.028338140467699077e+03 2.584962820308081000e-01 6.168826065151745697e-01 9.462109592845757700e-01
0.000000000000000000e+00 -1.022935373833142648e+03 1.000671822203905714e-01 3.683272066229190678e-01 6.154092415478592537e-01
0.000000000000000000e+00 -9.783475860734507705e+02 1.740324333113434374e-01 4.639026632646070514e-01 2.610043419213315952e-01
0.000000000000000000e+00 -9.306889151927687180e+02 3.071950092904633944e-01 8.480425773872214412e-01 2.483575517471958705e-02
0.000000000000000000e+00 -9.306453728877771709e+02 2.189066115586798533e-01 7.101668496873028147e-01 8.566596345587859096e-01
0.000000000000000000e+00 -9.276268657111461380e+02 1.575324926087637856e-01 2.652945214634596649e-01 3.091864679480414990e-01
0.000000000000000000e+00 -8.980879191174079779e+02 2.894974472337020766e-01 7.137615754226451781e-01 6.370810612182031818e-02
0.000000000000000000e+00 -8.960789941522522213e+02 2.610972831638073144e-01 4.757222129305789249e-01 9.167284517578173642e-01
0.000000000000000000e+00 -8.950030963968350761e+02 2.764663522736959811e-01 9.915663998932052747e-01 9.406091732894730217e-01
0.000000000000000000e+00 -8.907154157864845274e+02 2.722373397392637839e-01 7.102850834398272140e-01 9.328027258395920063e-01
0.000000000000000000e+00 -8.763474960241475173e+02 2.213018099476994349e-01 2.952595043091652549e-01 8.478286001888249990e-01
0.000000000000000000e+00 -8.641679187925014958e+02 1.257831829172594285e-01 9.097913359729006277e-01 4.116797463831022297e-01
0.000000000000000000e+00 -8.580432904066693709e+02 1.400366735228807391e-01 3.443934060405362541e-01 3.689918476523518232e-01
0.000000000000000000e+00 -8.542994365694685257e+02 1.317963132240134172e-01 7.613188829616491793e-01 3.942686808665354370e-01
0.000000000000000000e+00 -8.463093897671724335e+02 1.054096704791691597e-01 2.383232502094834171e-02 2.348887531808924178e-01
0.000000000000000000e+00 -8.253224773852338103e+02 3.284731102902650468e-01 8.903197336029825548e-01 9.975911296317543364e-01
0.000000000000000000e+00 -8.242320054388870858e+02 1.134509093048264861e-01 9.569543555952186864e-01 4.753207688639563555e-01
0.000000000000000000e+00 -8.159547844306250681e+02 2.583159721031401679e-01 5.301572325294954258e-01 8.905176590877814657e-01
0.000000000000000000e+00 -8.128931761416608879e+02 1.086117814038471963e-01 3.306875964674753643e-01 5.728624463073157536e-01
0.000000000000000000e+00 -8.116504224296426173e+02 3.139924357345323935e-01 3.203879065450897512e-01 9.719778595131941534e-01
0.000000000000000000e+00 -8.078159294064449796e+02 2.782983904569090727e-01 4.247669183089503031e-01 9.182629784883865609e-01
