weight logl sigma l k
0.000000000000000000e+00 -1.213838023542688688e+03 2.444509057420601872e-01 8.387637057925307005e+00 -8.645078385904596541e-01
0.000000000000000000e+00 -1.201556915644397350e+03 1.802487420258246376e-01 6.021373998822017626e+00 -5.886255855050046559e-01
0.000000000000000000e+00 -1.186811288290569109e+03 1.159024606810087343e-01 1.163877611889335029e+01 -2.374845529199092198e-01
0.000000000000000000e+00 -1.186266643945924670e+03 9.292712044633044677e-02 5.496991834997637660e+00 -3.257736397018362595e-02
0.000000000000000000e+00 -1.162650257859090061e+03 1.057350786469389847e-01 1.584970942406453176e+01 3.412943986196017576e-01
0.000000000000000000e+00 -1.150790221538381047e+03 1.247545708745927406e-01 3.708335859020317482e+00 -2.837145347604059786e-01
0.000000000000000000e+00 -1.116172435630281143e+03 3.133106036403343619e-02 1.333879068455146033e-01 6.893613034943335549e-02
0.000000000000000000e+00 -1.111074031001081494e+03 9.017416569286906824e-02 1.496809238200691894e+01 1.283098386589538453e-01
0.000000000000000000e+00 -1.105283173446299088e+03 2.200942824914903229e-01 1.418473635958337375e+01 -7.216445529758479527e-01
0.000000000000000000e+00 -1.091474979717798760e+03 2.777990521666970913e-01 1.188172191868682148e+01 9.892291984934398208e-01
0.000000000000000000e+00 -1.083612178868318097e+03 1.647534810236165326e-01 1.398981600165945238e+01 -4.752400015353794860e-01
0.000000000000000000e+00 -1.058628920684325976e+03 1.509043081029201039e-01 5.194681494010595202e+00 5.179182485139606218e-01
0.000000000000000000e+00 -1.057486634022224962e+03 1.063012321341355593e-01 2.858645028705777413e+00 3.015611403515290334e-01
0.000000000000000000e+00 -1.028338140467699077e+03 2.584962820308081000e-01 1.233765213030349095e+01 8.924219185691515399e-01
0.000000000000000000e+00 -1.022935373833142648e+03 1.000671822203905714e-01 7.366544132458381355e+00 2.308184830957185074e-01
0.000000000000000000e+00 -9.783475860734507705e+02 1.740324333113434374e-01 9.278053265292140139e+00 -4.779913161573368097e-01
0.000000000000000000e+00 -9.306889151927687180e+02 3.071950092904633944e-01 1.696085154774442927e+01 -9.503284896505608259e-01
0.000000000000000000e+00 -9.306453728877771709e+02 2.189066115586798533e-01 1.420333699374605629e+01 7.133192691175718192e-01
0.000000000000000000e+00 -9.276268657111461380e+02 1.575324926087637856e-01 5.305890429269193298e+00 -3.816270641039170020e-01
0.000000000000000000e+00 -8.980879191174079779e+02 2.894974472337020766e-01 1.427523150845290445e+01 -8.725837877563593636e-01
0.000000000000000000e+00 -8.960789941522522213e+02 2.610972831638073144e-01 9.514444258611579386e+00 8.334569035156347283e-01
0.000000000000000000e+00 -8.950030963968350761e+02 2.764663522736959811e-01 1.983132799786410416e+01 8.812183465789460435e-01
0.000000000000000000e+00 -8.907154157864845274e+02 2.722373397392637839e-01 1.420570166879654472e+01 8.656054516791840125e-01
0.000000000000000000e+00 -8.763474960241475173e+02 2.213018099476994349e-01 5.905190086183305098e+00 6.956572003776499979e-01
0.000000000000000000e+00 -8.641679187925014958e+02 1.257831829172594285e-01 1.819582671945801167e+01 -1.766405072337955406e-01
0.000000000000000000e+00 -8.580432904066693709e+02 1.400366735228807391e-01 6.887868120810725081e+00 -2.620163046952963537e-01
0.000000000000000000e+00 -8.542994365694685257e+02 1.317963132240134172e-01 1.522637765923298403e+01 -2.114626382669291260e-01
0.000000000000000000e+00 -8.463093897671724335e+02 1.054096704791691597e-01 4.766465004189668342e-01 -5.302224936382151643e-01
0.000000000000000000e+00 -8.253224773852338103e+02 3.284731102902650468e-01 1.780639467205964976e+01 9.951822592635086728e-01
0.000000000000000000e+00 -8.242320054388870858e+02 1.134509093048264861e-01 1.913908711190437373e+01 -4.935846227208728898e-02
0.000000000000000000e+00 -8.159547844306250681e+02 2.583159721031401679e-01 1.060314465058990763e+01 7.810353181755629315e-01
0.000000000000000000e+00 -8.128931761416608879e+02 1.086117814038471963e-01 6.613751929349507286e+00 1.457248926146315071e-01
0.000000000000000000e+00 -8.116504224296426173e+02 3.139924357345323935e-01 6.407758130901795468e+00 9.439557190263883069e-01
0.000000000000000000e+00 -8.078159294064449796e+02 2.782983904569090727e-01 8.495338366179005618e+00 8.365259569767731218e-01
0.000000000000000000e+00 -8.042094619060291052e+02 1.083172296697525461e-01 1.420820985092365696e+01 1.132869461099719199e-01
0.000000000000000000e+00 -8.022516175700754957e+02 1.790858224626961093e-01 7.722391666759717666e+00 -4.244070594446407441e-01
0.000000000000000000e+00 -7.886884080314608809e+02 3.172151565022125475e-01 9.653190565950140467e+00 9.379877952900141924e-01
0.000000000000000000e+00 -7.800859136777160074e+02 2.482106519073131734e-01 5.878999585319242271e+00 7.302945650235863617e-01
0.000000000000000000e+00 -7.732111473883609278e+02 3.486396256516914871e-01 8.860300154746322931e+00 -9.745183707174813748e-01
0.000000000000000000e+00 -7.703957371700607837e+02 2.349037177760757711e-01 1.483274068229733800e+01 -6.182222040274354402e-01
0.000000000000000000e+00 -7.611208391163409033e+02 1.770609572835555312e-01 1.865111802420159748e+01 -3.963676064338752525e-01
0.000000000000000000e+00 -7.525021555233051913e+02 3.305024939804600548e-01 1.485869652406023889e+01 9.502593028874435355e-01
0.000000000000000000e+00 -7.524347210224204900e+02 2.247765197622536570e-01 5.832922150250881010e+00 6.436751130269953158e-01
0.000000000000000000e+00 -7.523205455742416916e+02 2.529767286689822425e-01 7.557270269055962331e+00 7.287419055984583061e-01
0.000000000000000000e+00 -7.342533896392534416e+02 1.413811203161889907e-01 1.675631249717259053e+01 -2.095090637338739015e-01
0.000000000000000000e+00 -7.287830514857519120e+02 3.383451098276550884e-01 8.161386095451454992e+00 -9.118812422446216370e-01
