weight logl k
0.000000000000000000e+00 -9.814166408940657857e+04 -1.140173748525071140e+00
0.000000000000000000e+00 -9.748419607631236431e+04 1.845210090720478480e+00
0.000000000000000000e+00 -9.733431924435889232e+04 1.843976038075753277e+00
0.000000000000000000e+00 -9.729563912497305137e+04 -1.133219632418609901e+00
0.000000000000000000e+00 -9.721083457292584353e+04 -1.132520767500169168e+00
0.000000000000000000e+00 -9.709481104057129414e+04 -1.131564098265046781e+00
0.000000000000000000e+00 -9.696931963719223859e+04 -1.130528668479315879e+00
0.000000000000000000e+00 -9.689189031186858483e+04 1.840327194874738836e+00
0.000000000000000000e+00 -9.650755094042765268e+04 1.837150141314717988e+00
0.000000000000000000e+00 -9.645887320067545807e+04 1.836747271818210514e+00
0.000000000000000000e+00 -9.639882709766953485e+04 -1.125812407835089068e+00
0.000000000000000000e+00 -9.638844033964659320e+04 1.836164157331277469e+00
0.000000000000000000e+00 -9.635862926920295286e+04 -1.125479525940664693e+00
0.000000000000000000e+00 -9.594616503811669827e+04 1.832497294397763987e+00
0.000000000000000000e+00 -9.593545217024865269e+04 -1.121970606087869360e+00
0.000000000000000000e+00 -9.592154068516670668e+04 1.832292868680773346e+00
0.000000000000000000e+00 -9.581417498451124993e+04 1.831401212507958398e+00
0.000000000000000000e+00 -9.569377300578258291e+04 -1.119962894882249316e+00
0.000000000000000000e+00 -9.569012823105312418e+04 1.830370351600974388e+00
0.000000000000000000e+00 -9.549952337355751661e+04 1.828784970093725093e+00
0.000000000000000000e+00 -9.543119478920793335e+04 -1.117778466406343263e+00
0.000000000000000000e+00 -9.513503802505075873e+04 1.825748554991103223e+00
0.000000000000000000e+00 -9.493401832318656670e+04 -1.113633480267580467e+00
0.000000000000000000e+00 -9.474240177739103092e+04 1.822470592983987725e+00
0.000000000000000000e+00 -9.450737679188248876e+04 -1.110067199515151426e+00
0.000000000000000000e+00 -9.439165686983861087e+04 -1.109098403579514613e+00
0.000000000000000000e+00 -9.402005676335799217e+04 -1.105983060542271801e+00
0.000000000000000000e+00 -9.385839727581125044e+04 -1.104625698420600433e+00
0.000000000000000000e+00 -9.352542389763612300e+04 -1.101825927145799966e+00
0.000000000000000000e+00 -9.333248665410873946e+04 1.810638926314706687e+00
0.000000000000000000e+00 -9.326704401572332426e+04 -1.099649654765276097e+00
0.000000000000000000e+00 -9.290744133153243456e+04 -1.096615377254252177e+00
0.000000000000000000e+00 -9.248866214088494598e+04 -1.093073764339622223e+00
0.000000000000000000e+00 -9.208311652657279046e+04 1.800073549731196820e+00
0.000000000000000000e+00 -9.204170477791992016e+04 1.799722025520543500e+00
0.000000000000000000e+00 -9.192231107016223541e+04 -1.088270315149686862e+00
0.000000000000000000e+00 -9.130092424757961999e+04 1.793419384648748061e+00
0.000000000000000000e+00 -9.080158752970797650e+04 -1.078717587790448462e+00
0.000000000000000000e+00 -9.062277837001631269e+04 1.787625332589207972e+00
0.000000000000000000e+00 -9.051442961546979495e+04 1.786697432218808057e+00
0.000000000000000000e+00 -9.045413789159824955e+04 1.786180832419841380e+00
0.000000000000000000e+00 -9.011850042354009929e+04 1.783301561699317528e+00
0.000000000000000000e+00 -9.007486366208201798e+04 -1.072489040568857188e+00
0.000000000000000000e+00 -9.005462467147705320e+04 -1.072315188874244818e+00
0.000000000000000000e+00 -8.979486620366749412e+04 -1.070081996843054384e+00
0.000000000000000000e+00 -8.946244035437819548e+04 1.777656711324035133e+00
0.000000000000000000e+00 -8.946235008308256511e+04 1.777655933073362782e+00
0.000000000000000000e+00 -8.943020542670012219e+04 -1.066941023119096776e+00
0.000000000000000000e+00 -8.927508433598850388e+04 1.776040552085932145e+00
0.000000000000000000e+00 -8.914736914966990298e+04 -1.064500052480111147e+00
0.000000000000000000e+00 -8.893610105045026285e+04 1.773111753125490964e+00
0.000000000000000000e+00 -8.877567630468390416e+04 -1.061285824107765841e+00
0.000000000000000000e+00 -8.862841556928756472e+04 -1.060010362122437044e+00
0.000000000000000000e+00 -8.811792840572097339e+04 -1.055579978312049416e+00
0.000000000000000000e+00 -8.801361745672722463e+04 -1.054672978016353735e+00
0.000000000000000000e+00 -8.795496897775573598e+04 1.764600519832421721e+00
0.000000000000000000e+00 -8.785616072539077140e+04 1.763740516496238975e+00
0.000000000000000000e+00 -8.750438657295871235e+04 -1.050236730868076673e+00
0.000000000000000000e+00 -8.719343533293473592e+04 -1.047520929720215044e+00
0.000000000000000000e+00 -8.701198549843458750e+04 1.756371498259657216e+00
0.000000000000000000e+00 -8.696843098151209415e+04 1.755990248259853281e+00
0.000000000000000000e+00 -8.696306099968377384e+04 -1.045505479468230359e+00
0.000000000000000000e+00 -8.670092228880344192e+04 1.753646358679040063e+00
0.000000000000000000e+00 -8.665803225152839150e+04 1.753270194104262991e+00
0.000000000000000000e+00 -8.654798159652587492e+04 -1.041866781875456560e+00
0.000000000000000000e+00 -8.613297559487096441e+04 -1.038219228528515004e+00
0.000000000000000000e+00 -8.596839586113538826e+04 1.747207820446834869e+00
0.000000000000000000e+00 -8.593095655083374004e+04 1.746877947635470996e+00
