sigma l a b
1.852069154040198173e-01 5.369089187590113665e-01 8.298419792334324474e-03 3.102405313824041500e-02
2.034536885475402013e-01 6.636119285762587250e-01 7.380939660483899767e-03 1.802670526958083386e-02
1.887316534467577134e-01 7.115902529153401712e-01 6.374144989925743798e-03 3.123507959804028289e-02
1.690095693591504578e-01 6.411757701671428888e-01 7.648800435789693264e-03 1.866268131301529465e-02
2.119837329226025302e-01 6.647710565998985466e-01 6.814600026528748467e-03 -3.475696124556337807e-03
1.925055302500428833e-01 6.176674451021311185e-01 7.386374955157558320e-03 3.484023118175016975e-02
1.807800589886630060e-01 6.197473060173981363e-01 7.598991163543379612e-03 -1.418967652151037484e-02
1.718872435743183102e-01 6.783268692503475750e-01 7.501301715468908227e-03 3.937421543850927463e-02
1.951524163375472909e-01 6.107292650429250180e-01 6.968437074782972418e-03 -2.000867677942008704e-02
1.708968104311278657e-01 7.101624697074591097e-01 7.403120254163855773e-03 -9.447186387490091874e-05
1.796670777511494288e-01 6.035319286831988261e-01 6.863714703260068162e-03 1.504548781078840491e-02
1.943572362270707121e-01 6.562829391497280174e-01 7.921656167868065812e-03 1.892746189706917548e-02
1.826359725688533331e-01 6.324851972252600874e-01 8.287315580366827472e-03 -1.569095337268899826e-03
1.742076656974120563e-01 5.723111144247170490e-01 7.700076054911186851e-03 3.286961711826430488e-02
2.102125301866304696e-01 5.433126074962099095e-01 6.862795033046931170e-03 -1.483468535795862131e-02
1.994938342194818304e-01 5.993066759558003387e-01 6.851865821517220956e-03 1.115017129678452790e-02
1.770132820472307689e-01 5.694765991127535010e-01 6.986108270213786664e-03 5.321930332806967812e-02
2.071231058595568164e-01 5.874381123072821564e-01 5.943822704213549968e-03 1.700600970205190521e-03
1.715537328869033984e-01 6.956957001265287044e-01 7.492757076402199734e-03 3.544137743899344883e-02
1.802255095864191692e-01 6.811060422061221420e-01 7.445168594510130633e-03 -2.587643908683956440e-02
1.689932646701934882e-01 5.982923549946517205e-01 7.559920676403618367e-03 1.820967461504885421e-02
1.728961548812788240e-01 6.603939568303279772e-01 8.134349016104533425e-03 4.707825940510979024e-02
1.851201251611678256e-01 6.275743060223668568e-01 6.593121861572737163e-03 2.021462141487795350e-03
1.985491422905703018e-01 6.433695794472332752e-01 6.710205958777949731e-03 3.312924885632417826e-02
1.887617770660314220e-01 6.849521640321174498e-01 6.622561752440782323e-03 1.307553202033062689e-02
1.703777878602065754e-01 6.086828611061125827e-01 7.299918285207963875e-03 -1.626730900464989915e-02
1.825322668601213894e-01 6.233365929066533306e-01 7.380262899305448099e-03 2.281700839178668616e-03
1.815504523076530985e-01 6.504662975772725897e-01 7.095363383917786815e-03 9.151849551903623592e-03
1.858559279862166680e-01 6.426176941560073352e-01 7.627253601261888005e-03 -1.736403526670460273e-02
1.735404371605756002e-01 6.352052888055476076e-01 8.406344088333558839e-03 -1.024124474544962915e-02
1.611860918810647803e-01 6.393191577342655085e-01 7.667402764721588382e-03 2.100647939041078160e-03
2.046188166399855735e-01 6.219277408908853166e-01 7.579016331061373679e-03 1.537590004369748797e-02
2.004788765023257091e-01 5.713746390550223930e-01 7.106422085939666233e-03 2.217927728075608229e-02
1.941993879307127024e-01 6.848073310248770085e-01 7.011847620375419310e-03 -1.319763646767802001e-02
1.740197982398522802e-01 5.962851319204637290e-01 7.616690875611266398e-03 2.179880923751964517e-02
1.805515850965472013e-01 6.642288277241970018e-01 8.166372396224461094e-03 -1.944486951063106872e-02
1.817738517045267843e-01 6.213423197495684391e-01 6.912742565505870795e-03 -4.983935940510164642e-04
1.703777878602065754e-01 6.086828611061125827e-01 7.299918285207963875e-03 -1.626730900464989915e-02
1.829955037996892075e-01 6.189097534264511591e-01 8.264815531211812394e-03 -3.240522498844078392e-02
