weight logl sigma l a b
0.000000000000000000e+00 -8.478637571671262776e+03 2.770305189055674022e-01 4.174792193658305450e-01 2.283190367073850702e-02 3.602833532801159588e-01
0.000000000000000000e+00 -8.275116728895325650e+03 3.021319912849417255e-01 4.312517938403904738e-01 7.217110483909117136e-02 1.012153000945035242e-01
0.000000000000000000e+00 -8.125174817605312455e+03 2.860163409667908496e-01 9.164197527674118327e-01 5.468009270947959966e-02 2.313375665257511038e-01
0.000000000000000000e+00 -8.104731878720185705e+03 1.133071895027178977e-01 7.454699803273694414e-01 6.362334350029033025e-01 7.962179201441130783e-01
0.000000000000000000e+00 -8.096383359399256733e+03 1.766358462937730467e-01 7.104813842104032995e-01 7.847745076076633186e-01 7.819099873999435513e-02
0.000000000000000000e+00 -8.078212738848480512e+03 3.205617222700802849e-01 6.701085526860109942e-01 9.357028773648001785e-02 7.806368539556296504e-03
0.000000000000000000e+00 -8.058381371836403559e+03 1.638536062821480677e-01 3.158029839668989869e-01 4.520535478158549392e-01 9.309100696810971298e-01
0.000000000000000000e+00 -8.048297729918971527e+03 2.278074848767580596e-01 4.032536652552863865e-01 9.677682305009307484e-01 1.467522712285154185e-01
0.000000000000000000e+00 -7.945398459978603569e+03 2.103064620961534459e-01 6.078300087809374030e-01 9.810614931630978752e-01 2.700687956703040626e-01
0.000000000000000000e+00 -7.932657238400857750e+03 2.144752648853857080e-01 4.588912880508609904e-01 7.960542526826995813e-01 9.441861016923637218e-01
0.000000000000000000e+00 -7.875274341199100490e+03 1.928207808261837020e-01 9.135308775919794844e-01 9.207832126469297496e-01 2.037234581291883506e-01
0.000000000000000000e+00 -7.863221516057282315e+03 2.722459969336268326e-01 9.392823316296262659e-01 2.246742737934069867e-01 1.359879447047329659e-02
0.000000000000000000e+00 -7.804825747269162093e+03 9.298314529902940162e-02 4.320172176602780079e-01 4.386768288341250654e-01 7.651644661927935465e-01
0.000000000000000000e+00 -7.680280761113172957e+03 2.668588393433612982e-01 7.668606259068031505e-01 1.289900864571019712e-01 1.907534336196875513e-01
0.000000000000000000e+00 -7.564566724761274600e+03 1.799379595333694404e-01 5.918749399251975740e-01 9.358187695996914579e-01 5.338466179832005443e-01
0.000000000000000000e+00 -7.415113520114809944e+03 1.371934400346287442e-01 9.717583704742079886e-01 5.545865381575895148e-01 8.638890743838054664e-01
0.000000000000000000e+00 -7.141330891976535895e+03 3.378880970224901192e-01 6.764982875381559957e-01 5.452054326650013216e-02 8.706503744309701531e-02
0.000000000000000000e+00 -7.001546997421171909e+03 1.780250527489967149e-01 1.171260314085385001e-01 4.333438311420489963e-01 1.213740599755542826e-01
