weight logl sigma l a b
0.000000000000000000e+00 -1.050665583685001729e+04 1.410318945254696033e-01 2.888164853872039473e+00 -2.785320438111652669e-02 4.899773785535921355e-01
0.000000000000000000e+00 -1.024155878585414030e+04 2.433783576123903503e-01 1.317562231956148011e+01 -3.617431462472258524e-02 -1.561675404718181781e+00
0.000000000000000000e+00 -1.013802798088111740e+04 1.119744709029074636e-01 9.616718231950578399e+00 -2.156543182464054631e-02 4.122498348604750618e-01
0.000000000000000000e+00 -1.011001800669671866e+04 1.437690058689091721e-01 1.814104947874569262e+01 4.311739318951827993e-02 -3.244470989935837046e-01
0.000000000000000000e+00 -1.005729642929623151e+04 8.362936086497418930e-02 1.979411124075901895e+01 6.799563619511804491e-03 1.157867989671130360e+00
0.000000000000000000e+00 -9.888588921555448906e+03 1.865119867256179731e-01 8.848134254925613007e+00 4.120933895621788079e-02 1.151182596618031795e+00
0.000000000000000000e+00 -9.841975655883312356e+03 2.464973194414998847e-01 1.256730378150257188e+01 -4.606834695925463713e-02 9.216729043626492590e-01
0.000000000000000000e+00 -9.823117201167315216e+03 1.729135037419239351e-01 1.196620793386728110e+01 -1.371019299505375072e-02 1.864141130531502100e+00
0.000000000000000000e+00 -9.732011974718112469e+03 5.310337764382710990e-02 1.395991248319408840e+01 1.323219713037700196e-02 6.622922862224767115e-01
0.000000000000000000e+00 -9.685102319501922466e+03 1.435196384297620087e-01 8.355502642599130780e+00 -2.706484514657319165e-02 3.528835610971903236e-01
0.000000000000000000e+00 -9.472800071552721420e+03 1.317952914320815738e-01 6.876470927681815226e+00 3.978303983764001905e-02 -3.739303158415556716e-01
0.000000000000000000e+00 -9.464238751077054985e+03 1.460129028127178374e-01 7.621287998284451248e+00 2.778781426928536580e-02 1.217423301070746700e+00
0.000000000000000000e+00 -9.367330392767438752e+03 2.632521345779835764e-01 1.532073678580907661e+01 -4.946848112538139441e-02 5.410143666835836029e-01
0.000000000000000000e+00 -9.253347656951373210e+03 9.871536460357832610e-02 1.294501459483153738e+01 2.832848878228277911e-02 -1.065448480453307756e+00
0.000000000000000000e+00 -8.962052703241670315e+03 1.600393444863045245e-01 1.371078257121788724e+01 -1.901994123968596406e-03 1.811779091400552044e+00
0.000000000000000000e+00 -8.937226072600589760e+03 1.337353965605235784e-01 1.610613623865826938e+01 3.705215944406069217e-02 -8.605439397912459931e-01
0.000000000000000000e+00 -8.937136482431207696e+03 1.546026680074823467e-01 1.607026782428368250e+01 3.232904425155640193e-02 1.046141948775580310e+00
0.000000000000000000e+00 -8.920300191785612697e+03 1.624303045804882384e-01 1.730933901817507703e+01 3.340159689200369875e-02 1.098249581166770739e+00
0.000000000000000000e+00 -8.912234414324742829e+03 3.188978826267842015e-01 1.121753040611822172e+01 -4.927711196484858835e-02 1.898000863896963430e+00
0.000000000000000000e+00 -8.741448820708046696e+03 1.336247767857670077e-01 1.949144873985232707e+01 1.921067886509598976e-02 -1.545190624441673322e+00
0.000000000000000000e+00 -8.699219777623757182e+03 9.815387095443528498e-02 7.246866582991273731e-01 -2.247621707825485718e-02 -5.850670383637628369e-01
0.000000000000000000e+00 -8.588031439894271898e+03 1.824015641432839008e-01 1.507514078590813611e+01 4.461402695782518135e-02 -9.366158553029109157e-01
0.000000000000000000e+00 -8.567270090190417250e+03 1.632640578349442428e-01 1.256766447961350330e+01 3.912575326027549483e-02 -1.113688203862861048e+00
0.000000000000000000e+00 -8.478637571671262776e+03 2.770305189055674022e-01 8.349584387316610901e+00 -4.771680963292615485e-02 -5.588665868795361646e-01
0.000000000000000000e+00 -8.275116728895325650e+03 3.021319912849417255e-01 8.625035876807809032e+00 -4.278288951609088286e-02 -1.595138799621985903e+00
0.000000000000000000e+00 -8.125174817605312455e+03 2.860163409667908496e-01 1.832839505534823843e+01 -4.453199072905204142e-02 -1.074649733896995585e+00
0.000000000000000000e+00 -8.104731878720185705e+03 1.133071895027178977e-01 1.490939960654738883e+01 1.362334350029033303e-02 1.184871680576452313e+00
