weight logl c d e
0.000000000000000000e+00 -5.298158795311838333e+32 9.022597713390103635e-01 3.949771313877108447e-01 -3.206361727756854574e-01
0.000000000000000000e+00 -5.188780419197819108e+32 2.037217200681906704e-02 4.388381642433309970e-01 -6.115486309595383752e-01
0.000000000000000000e+00 -4.280209361513141817e+32 -7.638290417070263683e-01 3.956724147401629588e-01 -3.342166546198728216e-01
0.000000000000000000e+00 -4.111613330783120594e+32 4.940287170837198705e-01 4.004982437455702482e-01 4.108059905957928137e-02
0.000000000000000000e+00 -3.671878097523980544e+32 -7.050288729125482323e-01 3.957125419354426965e-01 3.717185526663515649e-01
0.000000000000000000e+00 -3.579026870920906378e+32 8.855335444738088313e-02 4.196423450090491780e-01 9.188141207886735273e-02
0.000000000000000000e+00 -3.392515403765760497e+32 1.316981660715965674e-01 4.147268547796792437e-01 -5.394991204458765566e-01
0.000000000000000000e+00 -3.209805356424859360e+32 -8.864034820069446319e-01 3.922733248601893985e-01 2.241927468149118585e-01
0.000000000000000000e+00 -3.139695732181101910e+32 -4.898403836843328030e-01 3.990316207219372635e-01 6.112552009766405448e-01
0.000000000000000000e+00 -2.880755692136264630e+32 -9.787948530910193234e-01 3.904938677248407375e-01 8.504966305097760859e-02
0.000000000000000000e+00 -2.725447634277046110e+32 -2.283832278427040396e-01 4.070679293512646235e-01 2.120917358339002856e-01
0.000000000000000000e+00 -2.577184848711274822e+32 6.537011222249493603e-01 3.945349785046586288e-01 9.934276706094635756e-02
0.000000000000000000e+00 -2.576616984789931937e+32 -8.342611118209395382e-01 3.917015019449321955e-01 -3.799800992639283947e-01
0.000000000000000000e+00 -2.012791600803545726e+32 4.526462636419137375e-02 4.240887377901224053e-01 8.613791213311550177e-01
0.000000000000000000e+00 -1.996135865370124956e+32 -8.519135376266433468e-01 3.899761022833105883e-01 4.190546979143430217e-01
0.000000000000000000e+00 -1.824447915753709007e+32 -7.676888046376801888e-01 3.906628435293346691e-01 -4.780194552107330797e-01
0.000000000000000000e+00 -1.701640341324345307e+32 -1.426891241242429498e-01 4.097933862998278665e-01 -6.788010295260964444e-01
0.000000000000000000e+00 -1.655216567799695475e+32 -2.797374342477878528e-01 4.018193291897646513e-01 -3.272758811300144899e-01
