c d e
2.306300148647244530e-01 2.199819395535145689e-02 -4.148815741925419021e-01
2.234868663729727700e-01 2.246037968270601579e-02 -4.029027453669593584e-01
2.365156613850334377e-01 2.190298997678516782e-02 -4.277957627989884548e-01
2.507834141096154656e-01 2.128209235116158837e-02 -4.438643201013527939e-01
2.375505802203339289e-01 2.177778617573099956e-02 -4.240927836274303031e-01
2.196793900176658987e-01 2.267963831317918247e-02 -4.004176972309619886e-01
2.292757465490091739e-01 2.232042312497167433e-02 -4.202919397609716778e-01
2.065321630528971220e-01 2.336384295970060990e-02 -3.847282062222056043e-01
2.322270082767401433e-01 2.197183531729524075e-02 -4.099307701439738327e-01
2.282628917232309984e-01 2.250849794305420648e-02 -4.281056930763575963e-01
2.369026355367997994e-01 2.191485938521157625e-02 -4.263074255289529546e-01
2.166318025472249165e-01 2.268461455045363631e-02 -3.971181589950188995e-01
2.134873454286658756e-01 2.300229707044512337e-02 -3.981901009108035350e-01
2.371253587254509299e-01 2.190216926386615373e-02 -4.292105892448307980e-01
2.389513855009135490e-01 2.178439892851649282e-02 -4.257318532769245323e-01
2.301682715744077790e-01 2.224660104534896196e-02 -4.206643952207729242e-01
2.185734635742062615e-01 2.280164515604239314e-02 -4.103607340763165690e-01
2.091610909589360912e-01 2.306594210434143727e-02 -3.863265123334467255e-01
2.349863347446625728e-01 2.187666986588517395e-02 -4.219900195979506830e-01
2.361078900631541355e-01 2.191089695663377135e-02 -4.241682089406909606e-01
2.237239498967258378e-01 2.260965421161188413e-02 -4.102231360512655911e-01
2.307429482419680600e-01 2.208504489685030048e-02 -4.096199694718960505e-01
2.413771799013408881e-01 2.175841153320023577e-02 -4.294527213396119869e-01
2.445372268048371378e-01 2.167586727757439893e-02 -4.368516378417752755e-01
2.209758169638174063e-01 2.263045484356109374e-02 -4.064728346437261886e-01
2.346522818966398916e-01 2.198043328691345888e-02 -4.163753397025086178e-01
2.317320693125362041e-01 2.213625090547543736e-02 -4.256203198647340313e-01
2.052380864280216599e-01 2.320081645759893355e-02 -3.815601831938479904e-01
2.261946309051077186e-01 2.231731796895488479e-02 -4.107203150978172568e-01
2.206777165192015389e-01 2.255690399729498238e-02 -3.967695188601584322e-01
2.381411056865343490e-01 2.175283486701458727e-02 -4.215320064849117365e-01
2.355291721302625874e-01 2.185358870879384324e-02 -4.154081865678832530e-01
2.244127977887715453e-01 2.251724973781665112e-02 -4.135389942295945032e-01
2.599821648068383340e-01 2.100651136405266503e-02 -4.485595436823087701e-01
2.338014310353089265e-01 2.200957117272322322e-02 -4.174395247143640741e-01
2.305833052509775882e-01 2.217834871853209891e-02 -4.216958115891493719e-01
2.093713155253866809e-01 2.297834239456216301e-02 -3.835199279866491340e-01
2.241381033988929516e-01 2.239576666718153669e-02 -4.019094848336038917e-01
2.340238717336275975e-01 2.206493867343349569e-02 -4.135490880407473036e-01
2.304140566171746229e-01 2.216932916908839757e-02 -4.115918825636322165e-01
2.242253651382786206e-01 2.231943174862364987e-02 -4.041420481721678115e-01
2.338060169179123626e-01 2.215785015127915564e-02 -4.266640242989137022e-01
