weight logl c d e
0.000000000000000000e+00 -2.112090128426032039e+34 5.875533836812800725e-01 8.707646102982240510e-01 2.150966298627007278e-01
0.000000000000000000e+00 -1.989138745785843223e+34 5.616385217608421687e-02 8.324138509679612774e-01 7.043498537697605588e-01
0.000000000000000000e+00 -1.725515670499208556e+34 3.056761741853875058e-02 8.294630727437199980e-01 3.227702687120873604e-01
0.000000000000000000e+00 -1.676777381510101463e+34 6.657417262585407780e-02 8.309825510593115139e-01 8.905573013792990045e-01
0.000000000000000000e+00 -1.659942670940930815e+34 5.713833670586611069e-01 8.727065038042314260e-01 8.491588356010136840e-01
0.000000000000000000e+00 -1.330242468090276417e+34 4.295219671760284186e-01 8.704350487405280168e-01 6.204103081608365322e-01
0.000000000000000000e+00 -1.276094559199618937e+34 3.421207538168049567e-01 8.512460515006048389e-01 5.672080755817774378e-01
0.000000000000000000e+00 -1.224241419080143535e+34 8.032617657217838714e-01 8.356200098227718476e-01 2.981577321019457383e-01
0.000000000000000000e+00 -1.189455336972359579e+34 3.775414478491625481e-01 8.563239747041574423e-01 6.121705320791874794e-01
0.000000000000000000e+00 -1.150192079264082719e+34 8.909153950727888294e-02 8.278468462633156166e-01 6.166724906785446825e-01
0.000000000000000000e+00 -9.853350713042937936e+33 5.991075314402737328e-01 8.590479015558368792e-01 5.558743854360951309e-01
0.000000000000000000e+00 -9.717726231191569063e+33 2.715906389888724792e-01 8.395176785452755919e-01 3.925247383251589950e-01
0.000000000000000000e+00 -8.500259370803556078e+33 4.734619146452605509e-01 8.878908484432828097e-01 4.137234803904887848e-02
0.000000000000000000e+00 -7.896143493032471367e+33 1.877201465453692819e-01 8.298519237030612672e-01 8.815350760636361249e-01
0.000000000000000000e+00 -7.807254184319431502e+33 4.543798051622243150e-01 8.743427159900087897e-01 5.507659052045958958e-01
0.000000000000000000e+00 -7.766595965321028449e+33 7.784369211269426270e-01 8.323218763973024847e-01 9.929391585539725229e-01
0.000000000000000000e+00 -7.607852338406402129e+33 3.092205206246010363e-01 8.408549597684514820e-01 3.430137762217071451e-01
0.000000000000000000e+00 -7.369619748799942392e+33 2.138010865384292192e-01 8.310750785083608205e-01 6.501215578414398788e-01
0.000000000000000000e+00 -7.181652737464750488e+33 2.353425845455431320e-01 8.325911525122796641e-01 1.924465970932592862e-01
0.000000000000000000e+00 -7.085843473602042438e+33 7.476111064528531136e-01 8.339802337175716840e-01 5.187964095138591913e-01
0.000000000000000000e+00 -6.780943381047592267e+33 6.806877646077035271e-01 8.407810701883678961e-01 3.286027117912202478e-01
0.000000000000000000e+00 -5.998545632348925278e+33 5.385971546364860529e-01 8.751637123689633979e-01 8.453529928637356639e-01
