a b
1.013665667979121027e-02 -9.618542158941645326e-02
1.013627908275435002e-02 -9.259353142612569698e-02
1.000182185186325456e-02 -9.071318086313162610e-02
1.032297324881399636e-02 -1.005641287433107767e-01
9.946614518008559114e-03 -9.371838862512582580e-02
1.025895052016639886e-02 -8.473114728256958550e-02
1.026935005006333196e-02 -9.602920761063016286e-02
1.018064623951231429e-02 -8.869878328027214209e-02
1.003106623816048260e-02 -8.664223806028159558e-02
1.006937598055852867e-02 -9.583639126129894770e-02
1.013212941734391304e-02 -9.147761633908380041e-02
1.014320563430756023e-02 -9.098081819953995897e-02
1.017812290531885239e-02 -9.107861798567951084e-02
1.006393716634552959e-02 -9.191491670254658963e-02
1.009060941454544003e-02 -9.027400576063060456e-02
1.008694287716986604e-02 -8.905009226080218276e-02
1.013669730550154080e-02 -9.190504812356659059e-02
1.032745746254981611e-02 -1.046379370679548781e-01
1.016705039979977354e-02 -9.534182777468802605e-02
1.005492691232166141e-02 -8.288279856006197654e-02
1.014695766470462279e-02 -9.492152133681019954e-02
1.010946026374023171e-02 -9.190220598858811485e-02
1.009088223163995268e-02 -8.789994890160479635e-02
1.007504590568066016e-02 -8.938669109563224247e-02
1.014909404769344381e-02 -9.517736964090062202e-02
1.007993945311895512e-02 -8.486631336072658627e-02
9.937474733658704928e-03 -8.567637570625974419e-02
1.010473328962008255e-02 -9.336425776867174342e-02
1.016587487753837366e-02 -9.612349813789289321e-02
1.019593109003091858e-02 -9.522121017893048212e-02
1.009934072184860698e-02 -9.070564356798294092e-02
1.015538481193486303e-02 -9.291351463000241395e-02
1.011399832560746365e-02 -9.114798012054459164e-02
1.008279637338650725e-02 -9.008859272079483560e-02
1.013865699291940231e-02 -8.749180441399961872e-02
1.006729154244069557e-02 -9.333473236094325109e-02
1.026282225719070407e-02 -9.837494687676873184e-02
1.011843958673160765e-02 -8.996815843554983871e-02
9.954158930343938450e-03 -7.756162775447794644e-02
1.004492082749462029e-02 -8.473547248494761597e-02
1.004688000993533142e-02 -8.558773843971789752e-02
1.022943351333364947e-02 -1.019296543142131917e-01
1.009394705322188418e-02 -8.423049225030099230e-02
1.002663157811199690e-02 -9.080578458487820193e-02
1.002762876353299054e-02 -8.883730532567812865e-02
1.005763376562683609e-02 -9.238756261916059032e-02
1.005749052299794583e-02 -8.993391764741986982e-02
9.962508439697828622e-03 -8.566221786135863603e-02
1.009593563372795932e-02 -9.187958503118842657e-02
1.020237699847700158e-02 -9.972358240177059407e-02
1.012234709600880189e-02 -9.630509552917088101e-02
1.004361231168027224e-02 -8.748962431301721132e-02
1.021076939361727914e-02 -9.608497651394398709e-02
1.006554462228607255e-02 -9.134867374916666449e-02
1.022061016352827922e-02 -9.012628358874508194e-02
1.010999487984352158e-02 -9.667135555125505597e-02
1.002435516761725903e-02 -9.124575702179704706e-02
1.016240759778428565e-02 -9.406679413223573150e-02
1.001052380550058324e-02 -8.762691126241461959e-02
1.009278788495709955e-02 -8.767332215845713428e-02
1.021076939361727914e-02 -9.608497651394398709e-02
9.952421520762241847e-03 -8.636809730058714329e-02
1.014088933111854940e-02 -9.187053544662893145e-02
1.010576089790476972e-02 -9.400460584015379872e-02
9.957397026788362970e-03 -8.570029878843277160e-02
1.027022446919539922e-02 -9.480731627478866663e-02
9.987720626211504804e-03 -9.051142579436444180e-02
1.020933387835083750e-02 -9.387357750820179980e-02
1.006097703120283071e-02 -8.871289067518262073e-02
1.001708181240527212e-02 -8.386808643455578860e-02
1.000812535973712863e-02 -8.445539686202141461e-02
