weight logl a b
0.000000000000000000e+00 -2.593668805686715059e+05 7.796950269233735575e-01 8.875264595659608791e-01
0.000000000000000000e+00 -2.577419217727690120e+05 7.033909844112076204e-01 9.842460981481766513e-01
0.000000000000000000e+00 -2.571507822881171887e+05 2.929235050332248402e-01 2.579408602399972938e-01
0.000000000000000000e+00 -2.570474343046435679e+05 9.410711885761469109e-02 6.152275485241119890e-01
0.000000000000000000e+00 -2.556010031286878220e+05 7.141164941145082823e-01 9.681977061686733999e-01
0.000000000000000000e+00 -2.554361805057886813e+05 9.642037536692684707e-01 6.052932106010728841e-01
0.000000000000000000e+00 -2.550826411001891829e+05 3.670730423043455648e-02 7.488217109203015864e-01
0.000000000000000000e+00 -2.544367728406438837e+05 7.313103146271759947e-02 6.654648339440110139e-01
0.000000000000000000e+00 -2.543997830281327770e+05 7.606713028445801772e-01 9.066600893617154933e-01
0.000000000000000000e+00 -2.535858389912329149e+05 2.667425182415616991e-02 7.771464838952916176e-01
0.000000000000000000e+00 -2.526324650025136652e+05 7.725565120742764469e-01 8.885803889044233683e-01
0.000000000000000000e+00 -2.525712518100192538e+05 3.570248240802925688e-01 1.674600916608305345e-01
0.000000000000000000e+00 -2.509637670164827141e+05 5.365839994610333008e-02 7.169818919440756888e-01
0.000000000000000000e+00 -2.507900442307893827e+05 8.882589349297906889e-01 7.203651011557986594e-01
0.000000000000000000e+00 -2.501685746812932193e+05 1.176954977117095069e-01 5.787342436836540038e-01
0.000000000000000000e+00 -2.499507476544007368e+05 6.834443967919789920e-02 6.850943672395969353e-01
0.000000000000000000e+00 -2.488550398452655645e+05 4.316403593643366454e-01 6.809526238146168531e-02
0.000000000000000000e+00 -2.482783088495398988e+05 2.311202483729022372e-01 3.713497717078724225e-01
0.000000000000000000e+00 -2.479256734309475869e+05 7.133363346284916640e-01 9.595483474758481623e-01
0.000000000000000000e+00 -2.477239032365746680e+05 9.418971661404229589e-02 6.323634300791002305e-01
0.000000000000000000e+00 -2.456234391221704718e+05 9.404749689060716289e-01 6.303901182984825713e-01
0.000000000000000000e+00 -2.455229018644633761e+05 8.579663823316152627e-02 6.548627928442808388e-01
